source,method,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
G67,p1_baseline,0.07157486650829704,0.2974844551922874,0.05733184133296841,0.060407096962329265,0.0,0.5187863666726338,1.0
G67,mean_residual,0.049199795908696234,0.1618456644120327,0.0,0.0,1.0,0.21686735171618332,1.0
G67,nearest_p1_residual,0.00921001227843173,0.0156414518609735,0.0,0.0,1.0,4.440892098500626e-16,1.0
G67,salience_residual,0.01111620838092415,0.04417879332642616,0.0,0.0,1.0,0.07844610091626092,1.0
G67,uniform_residual,0.01111620838092415,0.04417879332642616,0.0,0.0,1.0,0.07844610091626092,1.0
G67,random_residual,0.03418727258404925,0.10406200286171124,0.019195835331989083,0.057883998656390934,0.625,0.11543722637626397,1.0
G67,salience_raw,0.01132680493558492,0.03353370141194266,0.0,0.0,1.0,0.04371588516371405,1.0
G67,anchor_gated_residual,0.004976603987873779,0.007533759486763533,0.0,0.0,1.0,4.440892098500626e-16,1.0
G67,exhaustive_grid,0.0,0.0,0.0,0.0,1.0,0.0,1.0
G77,p1_baseline,0.07122899680234498,0.2952623662476618,0.05700886570559213,0.060407096962329265,0.0,0.5187863666726339,1.0
G77,mean_residual,0.049707195523397564,0.16425107977842457,0.0,0.0,1.0,0.21686735171618354,1.0
G77,nearest_p1_residual,0.013024924273780882,0.03128290372194682,0.0,0.0,1.0,6.661338147750939e-16,1.0
G77,salience_residual,0.012467920325888652,0.047744945277966876,0.0,0.0,1.0,0.07844610091626092,1.0
G77,uniform_residual,0.012467920325888652,0.047744945277966876,0.0,0.0,1.0,0.07844610091626092,1.0
G77,random_residual,0.036688302749895776,0.11063787221269275,0.020451167414067772,0.0578839986563906,0.625,0.11543722637626286,1.0
G77,salience_raw,0.012295374304017235,0.03509541316785307,0.0,0.0,1.0,0.04371588516371405,1.0
G77,anchor_gated_residual,0.007037980854211126,0.01506751897352688,0.0,0.0,1.0,6.661338147750939e-16,1.0
G77,exhaustive_grid,0.0,0.0,0.0,0.0,1.0,0.0,1.0
