split,method,queries,query_fraction,anchors,interpolation_one_norm,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
development,p1_baseline,0,0.0,,0.0,0.09246646155437248,0.3195222451251887,0.06845452340553032,0.09241869906846978,0.0,0.4472262601857465,1.0
development,mean_residual,0,0.0,,0.0,0.06007464642561517,0.19916674415601918,0.008025838484991894,0.0463415888622386,0.625,0.12407563226681517,1.0
development,nearest_p1_residual,0,0.0,,0.0,0.03946312642985339,0.1163068437490972,0.0028764492572266303,0.04035525885227553,0.828125,0.0,1.0
development,salience_residual,4,0.015625,83 211 246 23,2.5125440306574487,0.03316821098570764,0.09256963688670919,0.002245898337659825,0.036552631736270325,0.84375,0.021214587475451685,1.0
development,uniform_residual,4,0.015625,83 211 246 23,2.5125440306574487,0.03316821098570764,0.09256963688670919,0.002245898337659825,0.036552631736270325,0.84375,0.021214587475451685,1.0
development,random_residual,4,0.015625,59 120 164 216,31.453576183766817,0.11796263694151549,0.2932095729906693,0.10350366847159292,0.40053276506501967,0.34375,0.05342936637946083,1.0
development,salience_raw,4,0.015625,85 246 197 249,1.8571722476894539,0.03856278420298443,0.08988181851498542,0.005597161746205028,0.06778482590883472,0.75,0.018946653928914925,1.0
development,anchor_gated_residual,4,0.015625,83 211 246 23,0.0,0.031418269171521934,0.06646422581679254,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
development,exhaustive_grid,256,1.0,all,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
confirmation,p1_baseline,0,0.0,,0.0,0.07140214107836337,0.2963734107199746,0.05717035351928027,0.060407096962329265,0.0,0.5187863666726338,1.0
confirmation,mean_residual,0,0.0,,0.0,0.04945414646042654,0.16304837209522866,0.0,0.0,1.0,0.21686735171618332,1.0
confirmation,nearest_p1_residual,0,0.0,,0.0,0.011279915303462826,0.023462177791460162,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,4,0.015625,83 211 246 23,2.5125440306574487,0.01181141663859242,0.04596186930219652,0.0,0.0,1.0,0.07844610091626092,1.0
confirmation,uniform_residual,4,0.015625,83 211 246 23,2.5125440306574487,0.01181141663859242,0.04596186930219652,0.0,0.0,1.0,0.07844610091626092,1.0
confirmation,random_residual,4,0.015625,59 120 164 216,31.453576183766817,0.035459844651408834,0.10734993753720198,0.019823501373028428,0.057883998656390934,0.625,0.11543722637626286,1.0
confirmation,salience_raw,4,0.015625,85 246 197 249,1.8571722476894539,0.011821013901621937,0.034314557289897865,0.0,0.0,1.0,0.04371588516371405,1.0
confirmation,anchor_gated_residual,4,0.015625,83 211 246 23,0.0,0.00609507021109534,0.011300639230145206,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,exhaustive_grid,256,1.0,all,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
