temperature,rank,anchors,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
0.0,4,83 211 246 23,0.031418269171521934,0.06646422581679254,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
2.0,4,83 211 246 22,0.03141826917152194,0.06646422581679257,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
4.0,4,83 231 22 211,0.033369202703403836,0.08230580854302683,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
8.0,4,53 231 22 190,0.0341973023207931,0.0758477591393128,0.004541395374818853,0.0463415888622386,0.796875,0.0,1.0
12.0,4,53 85 77 246,0.031147684819636593,0.06791563951659325,0.0035840254456833507,0.0463415888622386,0.796875,0.0,1.0
20.0,4,37 85 93 246,0.031459663203015534,0.0673021300187079,0.0028599381197108725,0.036552631736270325,0.8125,0.0,1.0
40.0,4,37 85 93 101,0.03522932409111797,0.08961337819841461,0.00224996561900722,0.036552631736270325,0.84375,0.0,1.0
80.0,4,37 85 89 101,0.035103449965890134,0.08890505396234613,0.0028805165385740253,0.04035525885227553,0.828125,0.0,1.0
