index,raw,residual,salience_weighted_residual
1,60.5002765697796,7.010653302338436,7.010653302338436
2,3.416247047747871,3.7037943705239096,3.7037943705239096
3,2.2709420403646448,1.8211179158518125,1.8211179158518125
4,1.1222116589512907,1.178957746501314,1.178957746501314
5,0.6810481781167886,0.7063097188502294,0.7063097188502294
6,0.6282776153160428,0.6052417882661554,0.6052417882661554
7,0.4475299450993112,0.4457647729650699,0.4457647729650699
8,0.34058806630842675,0.37305836650875934,0.37305836650875934
9,0.26471280848012274,0.24105391201081927,0.24105391201081927
10,0.22485913073901892,0.22454796828062668,0.22454796828062668
11,0.19911068574873775,0.17461489804185307,0.17461489804185307
12,0.17037212108818486,0.1586715045271848,0.1586715045271848
13,0.12179709221267056,0.11977444846212962,0.11977444846212962
14,0.0848096259906937,0.08783510269247165,0.08783510269247165
15,0.07162967835992644,0.06917838908566643,0.06917838908566643
16,0.06452399415447263,0.06493266432385121,0.06493266432385121
17,0.06059409745921843,0.058038474017993495,0.058038474017993495
18,0.05098920125657212,0.04845924553464794,0.04845924553464794
19,0.044983028290281724,0.04236699914711569,0.04236699914711569
20,0.04122544273791632,0.039183733924335155,0.039183733924335155
21,0.03728510935145024,0.03429120061937664,0.03429120061937664
22,0.02517713823684748,0.026046669819832478,0.026046669819832478
23,0.013397032650001322,0.013501332917461344,0.013501332917461344
24,0.007229559448923639,0.006631654163137084,0.006631654163137084
25,0.004492517250828134,0.0044715862776576135,0.0044715862776576135
26,3.3094119803603176e-15,3.178359247505428e-15,3.178359247505428e-15
27,2.148796148522007e-15,2.21644508417083e-15,2.21644508417083e-15
28,1.6193082723303018e-15,1.887768142832521e-15,1.887768142832521e-15
29,1.4431183714799164e-15,1.7953219678632146e-15,1.7953219678632146e-15
30,1.3627277761452601e-15,1.6815559849442334e-15,1.6815559849442334e-15
31,1.161840051980331e-15,1.5458848892866292e-15,1.5458848892866292e-15
32,1.1163997218290442e-15,1.4685401002719799e-15,1.4685401002719799e-15
33,1.0498733761107527e-15,1.3352767310559849e-15,1.3352767310559849e-15
34,1.0273603867586762e-15,1.2308843139193239e-15,1.2308843139193239e-15
35,9.406045939771435e-16,1.1658459804759846e-15,1.1658459804759846e-15
36,9.259308078558679e-16,1.103298661830568e-15,1.103298661830568e-15
37,8.937388676244959e-16,1.0554104320102462e-15,1.0554104320102462e-15
38,8.649565937234326e-16,9.87703294913953e-16,9.87703294913953e-16
39,7.774756406850177e-16,9.043305442361806e-16,9.043305442361806e-16
40,7.59479671609119e-16,8.717092087659018e-16,8.717092087659018e-16
41,7.05056293217355e-16,7.346561198672124e-16,7.346561198672124e-16
42,6.181082174422065e-16,7.187536903721921e-16,7.187536903721921e-16
43,4.683514783025239e-17,1.5293832354526482e-16,1.5293832354526482e-16
44,2.293313981390054e-32,6.903955472865912e-32,6.903955472865912e-32
45,2.6754639173511452e-48,1.4443732229975435e-47,1.4443732229975435e-47
46,3.211367922608615e-64,8.972373732346527e-63,8.972373732346527e-63
47,6.3885345617020735e-80,8.371325822500902e-79,8.371325822500902e-79
48,3.203003030109707e-95,2.723435475972976e-94,2.723435475972976e-94
